305821	80
305822	81
305823	83
305824	83
305825	81
305826	79
305827	79
305828	77
305829	76
305830	76
305831	75
305832	73
305833	72
305834	73
305835	76
305836	77
305837	80
305838	80
305839	81
305840	84
305841	84
305842	85
305843	85
305844	86
305845	84
305846	84
305847	83
305848	81
305849	80
305850	80
305851	80
305852	79
305853	76
305854	74
305855	75
305856	75
305857	75
305858	75
305859	75
305860	78
305861	78
305862	79
305863	77
305864	78
305865	79
305866	80
305867	80
305868	81
305869	82
305870	82
305871	81
305872	83
305873	84
305874	84
305875	84
305876	85
305877	83
305878	83
305879	83
305880	82
305881	84
305882	82
305883	83
305884	81
305885	82
305886	83
305887	84
305888	84
305889	84
305890	85
305891	88
305892	88
305893	90
305894	89
305895	91
305896	91
305897	93
305898	93
305899	94
305900	93
305901	93
305902	93
305903	93
305904	94
305905	94
305906	93
305907	93
305908	92
305909	93
305910	93
305911	94
305912	94
305913	95
305914	94
305915	92
305916	91
305917	90
305918	88
305919	88
305920	88
305921	89
305922	88
305923	85
305924	84
305925	85
305926	85
305927	85
305928	85
305929	85
305930	86
305931	88
305932	88
305933	88
305934	88
305935	86
305936	87
305937	84
305938	83
305939	82
305940	80
305941	82
305942	83
305943	84
305944	83
305945	83
305946	83
305947	85
305948	84
305949	83
305950	84
305951	84
305952	85
305953	85
305954	85
305955	84
305956	84
305957	85
305958	85
305959	87
305960	84
305961	86
305962	87
305963	87
305964	87
305965	88
305966	88
305967	88
305968	87
305969	85
305970	84
305971	84
305972	82
305973	82
305974	85
305975	85
305976	85
305977	90
305978	90
305979	89
305980	90
305981	88
305982	88
305983	87
305984	86
305985	86
305986	86
305987	86
305988	85
305989	85
305990	84
305991	81
305992	81
305993	78
305994	78
305995	77
305996	77
305997	75
305998	78
305999	79
306000	78
306001	78
306002	78
306003	79
306004	78
306005	78
306006	76
306007	79
306008	79
306009	81
306010	81
306011	80
306012	81
306013	80
306014	81
306015	81
306016	80
306017	81
306018	81
306019	80
306020	80
306021	79
306022	79
306023	78
306024	79
306025	78
306026	81
306027	82
306028	82
306029	82
306030	80
306031	83
306032	85
306033	85
306034	84
306035	83
306036	83
306037	83
306038	83
306039	83
306040	82
306041	81
306042	80
306043	78
306044	78
306045	79
306046	79
306047	78
306048	78
306049	79
306050	79
306051	80
306052	79
306053	79
306054	79
306055	79
306056	79
306057	78
306058	78
306059	77
306060	77
306061	77
306062	74
306063	74
306064	73
306065	74
306066	75
306067	76
306068	77
306069	78
306070	80
306071	80
306072	80
306073	79
306074	76
306075	76
306076	74
306077	69
306078	69
306079	69
306080	69
306081	69
306082	71
306083	75
306084	75
306085	75
306086	74
306087	75
306088	75
306089	76
306090	76
306091	75
306092	75
306093	75
306094	75
306095	75
306096	76
306097	77
306098	75
306099	73
306100	73
306101	74
306102	74
306103	75
306104	75
306105	75
306106	77
306107	75
306108	74
306109	70
306110	71
306111	73
306112	73
306113	73
306114	72
306115	73
306116	74
306117	72
306118	72
306119	72
306120	73
306121	76
306122	76
306123	78
306124	77
306125	77
306126	75
306127	74
306128	76
306129	77
306130	78
306131	73
306132	71
306133	72
306134	72
306135	74
306136	74
306137	74
306138	73
306139	73
306140	73
306141	72
306142	72
306143	73
306144	73
306145	73
306146	73
306147	73
306148	73
306149	72
306150	71
306151	70
306152	70
306153	71
306154	72
306155	72
306156	71
306157	72
306158	72
306159	72
306160	72
306161	70
306162	71
306163	72
306164	72
306165	69
306166	67
306167	68
306168	67
306169	66
306170	66
306171	68
306172	67
306173	68
306174	69
306175	69
306176	70
306177	71
306178	70
306179	70
306180	68
306181	68
306182	66
306183	62
306184	63
306185	63
306186	63
306187	62
306188	63
306189	63
306190	63
306191	64
306192	64
306193	65
306194	65
306195	65
306196	66
306197	65
306198	64
306199	64
306200	68
306201	67
306202	68
306203	67
306204	68
306205	69
306206	68
306207	67
306208	68
306209	68
306210	68
306211	67
306212	66
306213	66
306214	67
306215	66
306216	66
306217	68
306218	69
306219	70
306220	72
306221	70
306222	70
306223	68
306224	70
306225	70
306226	69
306227	69
306228	67
306229	65
306230	65
306231	66
306232	67
306233	66
306234	66
306235	65
306236	64
306237	65
306238	65
306239	66
306240	67
306241	68
306242	70
306243	70
306244	70
306245	71
306246	70
306247	70
306248	70
306249	70
306250	71
306251	71
306252	71
306253	70
306254	69
